,Deutsch,Wissenschaftlich
579,Misteldrossel,Turdus+viscivorus
580,Wanderdrossel,Turdus+migratorius
581,Heckensänger,Cercotrichas+galactotes
582,Grauschnäpper,Muscicapa+striata
583,Braunschnäpper,Muscicapa+dauurica
584,Rotkehlchen,Erithacus+rubecula
585,Blaukehlchen,Luscinia+svecica
586,Sprosser,Luscinia+luscinia
587,Nachtigall,Luscinia+megarhynchos
588,Weißkehlsänger,Irania+gutturalis
589,Rubinkehlchen,Calliope+calliope
590,Blauschwanz,Tarsiger+cyanurus
591,Trauerschnäpper,Ficedula+hypoleuca
592,Halsbandschnäpper,Ficedula+albicollis
593,Halbringschnäpper,Ficedula+semitorquata
594,Zwergschnäpper,Ficedula+parva
595,Taigaschnäpper,Ficedula+albicilla
596,Sprosserrotschwanz,Phoenicurus+erythronotus
597,Hausrotschwanz,Phoenicurus+ochruros
598,Gartenrotschwanz,Phoenicurus+phoenicurus
599,Diademrotschwanz,Phoenicurus+moussieri
600,Steinrötel,Monticola+saxatilis
601,Blaumerle,Monticola+solitarius
602,Braunkehlchen,Saxicola+rubetra
603,Schwarzkehlchen,Saxicola+rubicola
604,Pallasschwarzkehlchen,Saxicola+maurus
605,Steinschmätzer,Oenanthe+oenanthe
606,Isabellsteinschmätzer,Oenanthe+isabellina
607,Wüstensteinschmätzer,Oenanthe+deserti
608,Mittelmeer-Steinschmätzer,Oenanthe+hispanica
609,Zypernsteinschmätzer,Oenanthe+cypriaca
610,Nonnensteinschmätzer,Oenanthe+pleschanka
611,Fahlbürzel-Steinschmätzer,Oenanthe+moesta
612,Schwarzschwanz-Steinschmätzer,Oenanthe+melanura
613,Trauersteinschmätzer,Oenanthe+leucura
614,Saharasteinschmätzer,Oenanthe+leucopyga
615,Felsensteinschmätzer,Oenanthe+finschii
616,Schwarzrücken-Steinschmätzer,Oenanthe+lugens
617,Kaukasussteinschmätzer,Oenanthe+chrysopygia
618,Wasseramsel,Cinclus+cinclus
619,Jerichonektarvogel,Cinnyris+osea
620,Haussperling,Passer+domesticus
621,Weidensperling,Passer+hispaniolensis
622,Moabsperling,Passer+moabiticus
623,Feldsperling,Passer+montanus
624,Fahlsperling,Carpospiza+brachydactyla
625,Steinsperling,Petronia+petronia
626,Gelbkehlsperling,Gymnoris+xanthocollis
627,Schneesperling,Montifringilla+nivalis
628,Wellenastrild,Estrilda+astrild
